TriggerID,GRBName,tmin,tmin_err,tmin_upp_lim,tS_N,tS_N_err,T90,T90_err,tStart,tStop,Xtmin,XtS_N,z
100919884,100919A,0.692,0.429,FALSE,0.439,0.038,49.601,2.975,-38.401,21.044,0.27,0.17,NA
100922625,100922A,0.817,0.190,FALSE,0.439,0.038,4.352,0.923,-3.184,5.496,0.91,0.49,NA
100923844,100923A,1.057,NA,TRUE,0.155,0.013,51.713,5.838,-17.127,72.830,0.62,0.18,NA
100924165,100924A,0.343,NA,TRUE,0.078,0.007,9.024,0.362,-5.109,12.841,0.52,0.17,NA
100926595,100926A,0.582,NA,TRUE,0.155,0.013,32.256,0.572,-30.222,14.914,0.28,0.19,NA
100926694,100926B,2.261,0.423,FALSE,0.738,0.064,37.888,2.611,-21.894,47.805,0.69,0.23,NA
100929235,100929A,1.612,0.282,FALSE,0.738,0.064,8.192,2.360,-6.365,9.913,0.8,0.37,NA
100929315,100929B,0.466,0.084,FALSE,0.184,0.016,4.608,1.305,-2.797,6.357,0.87,0.35,NA
100929916,100929C,0.036,0.006,FALSE,0.016,0.001,0.320,0.143,-0.286,0.350,0.87,0.39,NA
101002279,101002A,0.874,NA,TRUE,0.261,0.023,7.168,2.290,-7.904,6.344,0.82,0.56,NA
101003244,101003A,0.453,NA,TRUE,0.092,0.008,9.984,1.448,-6.736,13.124,0.36,0.16,NA
101004426,101004A,4.074,1.692,FALSE,2.087,0.181,161.027,7.836,-141.058,27.355,0.54,0.28,NA
101008697,101008A,0.280,0.048,FALSE,0.130,0.011,8.960,1.846,-6.995,10.835,0.96,0.45,NA
101010190,101010A,0.857,0.410,FALSE,0.522,0.045,65.025,6.165,-31.985,74.648,0.63,0.38,NA
101011707,101011A,1.419,NA,TRUE,0.261,0.023,36.352,2.318,-19.047,53.269,1.15,0.64,NA
101013412,101013A,0.084,NA,TRUE,0.016,0.001,15.360,0.572,-7.027,20.314,0.51,0.29,NA
101014175,101014A,0.048,0.003,FALSE,0.016,0.001,449.415,1.410,-13.188,450.823,0.23,0.08,NA
101015558,101015A,0.574,NA,TRUE,0.130,0.011,500.552,7.408,-18.252,498.504,0.42,0.23,NA
101016243,101016A,0.343,0.011,FALSE,0.065,0.006,3.840,0.362,-1.786,4.205,0.62,0.12,NA
101017619,101017B,2.264,0.373,FALSE,1.241,0.108,47.872,1.950,-24.945,70.775,0.86,0.47,NA
101021009,101021A,0.318,0.123,FALSE,0.184,0.016,120.770,12.237,-51.457,89.321,0.32,0.18,NA
101021063,101021B,0.108,NA,TRUE,0.046,0.004,1.536,2.360,-1.235,1.790,0.63,0.55,NA
